Time	Type	Set	L Dia X [px]	L Dia Y [px]
880280540	SMP	1	73.71	69.32
880300496	SMP	1	74.68	69.44
880320515	SMP	1	74.72	70.37
880340474	SMP	1	74.23	68.59
880360494	SMP	1	74.74	69.62
880380451	SMP	1	74.54	69.55
880400477	SMP	1	74.69	71.16
880420433	SMP	1	74.60	69.61
880440458	SMP	1	74.78	70.52
880460416	SMP	1	73.92	69.62
880480438	SMP	1	73.07	69.52
880500394	SMP	1	75.45	69.55
880520420	SMP	1	73.80	69.50
880540377	SMP	1	74.69	69.62
880560400	SMP	1	74.63	69.50
880580357	SMP	1	74.08	69.55
880600377	SMP	1	74.59	69.49
880620338	SMP	1	74.92	68.52
880640358	SMP	1	74.97	69.44
880660315	SMP	1	74.86	68.76
880680338	SMP	1	73.93	69.50
880700297	SMP	1	74.97	68.60
880720321	SMP	1	75.77	69.46
880740289	SMP	1	74.62	69.63
880760300	SMP	1	74.35	70.42
880780261	SMP	1	74.06	69.68
880800281	SMP	1	74.84	70.52
880820237	SMP	1	76.18	70.48
880840264	SMP	1	75.77	70.30
880860221	SMP	1	74.68	70.57
880880242	SMP	1	74.75	69.60
880900203	SMP	1	74.58	69.52
880920225	SMP	1	74.35	69.63
880940182	SMP	1	75.52	70.42
880960203	SMP	1	74.57	69.65
880980163	SMP	1	75.00	68.60
881000184	SMP	1	74.71	69.59
881020143	SMP	1	75.33	69.73
881040166	SMP	1	74.57	70.12
881060122	SMP	1	75.54	69.59
881080152	SMP	1	74.72	68.55
881100102	SMP	1	74.89	69.62
881120128	SMP	1	73.96	70.48
881140084	SMP	1	75.45	69.53
881160106	SMP	1	74.88	68.68
881180067	SMP	1	75.66	67.68
881200085	SMP	1	74.48	69.47
881220045	SMP	1	74.69	68.51
881240066	SMP	1	76.29	67.76
881260024	SMP	1	74.69	68.69
881280048	SMP	1	75.47	68.61
881300008	SMP	1	74.87	68.70
881320027	SMP	1	74.68	68.40
881339985	SMP	1	74.81	68.47
881360009	SMP	1	73.68	68.66
881379968	SMP	1	74.81	69.44
881399988	SMP	1	74.80	70.27
881419947	SMP	1	73.04	69.32
881439970	SMP	1	74.81	69.46
881459927	SMP	1	74.82	67.71
881479951	SMP	1	74.90	69.58
881499906	SMP	1	75.20	69.60
881519929	SMP	1	72.72	69.48
881539886	SMP	1	75.27	70.35
881559911	SMP	1	72.89	69.46
881579865	SMP	1	74.91	69.48
881599894	SMP	1	74.60	69.40
881619849	SMP	1	76.07	70.35
881639870	SMP	1	74.94	69.45
881659830	SMP	1	74.62	70.45
881679850	SMP	1	74.77	69.53
881699810	SMP	1	75.27	71.17
881719833	SMP	1	74.89	69.55
881739792	SMP	1	74.55	69.43
881759820	SMP	1	74.84	70.41
881779770	SMP	1	75.94	68.80
881799793	SMP	1	76.40	68.67
881819751	SMP	1	74.84	68.67
881839773	SMP	1	75.00	69.50
881859728	SMP	1	75.62	68.50
881879755	SMP	1	75.20	68.54
881899715	SMP	1	75.46	69.70
881919737	SMP	1	75.56	69.41
881939695	SMP	1	75.26	70.22
881959714	SMP	1	75.65	70.20
881979676	SMP	1	74.72	69.62
881999696	SMP	1	73.73	69.59
882019655	SMP	1	75.10	70.44
882039679	SMP	1	74.64	69.44
882059634	SMP	1	74.74	69.51
882079657	SMP	1	75.67	69.45
882099614	SMP	1	75.14	68.56
882119640	SMP	1	73.93	70.49
882139593	SMP	1	73.57	69.67
882159618	SMP	1	74.97	69.43
882179577	SMP	1	74.57	69.54
882199598	SMP	1	74.63	69.58
882219556	SMP	1	75.46	69.47
882239578	SMP	1	75.73	69.55
882259536	SMP	1	73.91	68.65
882279559	SMP	1	74.00	70.25
882299517	SMP	1	75.69	69.48
882319538	SMP	1	75.80	68.87
882339499	SMP	1	75.62	69.63
882359518	SMP	1	75.04	69.55
882379476	SMP	1	76.87	70.39
882399501	SMP	1	76.01	69.53
882419460	SMP	1	77.50	70.45
882439488	SMP	1	75.16	70.47
882459440	SMP	1	76.66	69.77
882479463	SMP	1	75.72	70.45
882499418	SMP	1	74.58	69.49
882519443	SMP	1	75.43	69.65
882539400	SMP	1	76.01	69.75
882559421	SMP	1	75.17	69.62
882579381	SMP	1	75.35	69.78
882599401	SMP	1	76.07	69.83
882619362	SMP	1	75.30	70.59
882639383	SMP	1	76.35	70.47
882659339	SMP	1	78.19	70.48
882679364	SMP	1	75.85	69.54
882699321	SMP	1	75.82	70.57
882719345	SMP	1	74.72	70.48
882739307	SMP	1	75.73	70.43
882759323	SMP	1	75.79	70.43
882779283	SMP	1	74.87	69.42
882799304	SMP	1	74.79	70.51
882819263	SMP	1	75.94	69.70
882839288	SMP	1	74.34	70.38
882859246	SMP	1	76.39	69.49
