Time	Type	Set	L Dia X [px]	L Dia Y [px]
6216015315	SMP	1	75.62	74.73
6216035274	SMP	1	77.49	74.66
6216055293	SMP	1	76.69	74.54
6216075255	SMP	1	76.46	74.68
6216095273	SMP	1	76.78	74.43
6216115233	SMP	1	76.56	75.55
6216135257	SMP	1	76.49	75.52
6216155216	SMP	1	77.23	75.60
6216175234	SMP	1	74.61	74.52
6216195192	SMP	1	77.00	75.54
6216215218	SMP	1	76.46	74.73
6216235173	SMP	1	76.76	75.82
6216255194	SMP	1	76.35	74.66
6216275153	SMP	1	77.56	74.66
6216295174	SMP	1	76.88	75.43
6216315134	SMP	1	77.63	75.35
6216335168	SMP	1	77.72	75.47
6216355114	SMP	1	77.58	75.56
6216375140	SMP	1	76.94	75.39
6216395092	SMP	1	77.35	74.65
6216415116	SMP	1	76.52	75.37
6216435075	SMP	1	75.69	75.46
6216455092	SMP	1	76.74	74.72
6216475056	SMP	1	76.32	75.80
6216495078	SMP	1	77.58	74.52
6216515035	SMP	1	76.70	74.71
6216535056	SMP	1	76.44	74.63
6216555016	SMP	1	77.59	76.19
6216575036	SMP	1	77.57	74.72
6216594993	SMP	1	77.74	75.47
6216615018	SMP	1	76.23	74.66
6216634984	SMP	1	76.37	75.62
6216655001	SMP	1	76.69	75.39
6216674957	SMP	1	77.41	75.48
6216694976	SMP	1	77.32	76.45
6216714940	SMP	1	76.63	74.63
6216734959	SMP	1	76.90	75.49
6216754918	SMP	1	77.48	75.31
6216774942	SMP	1	76.19	75.42
6216794899	SMP	1	76.63	75.66
6216814917	SMP	1	77.48	75.56
6216834880	SMP	1	77.47	74.78
6216854898	SMP	1	77.53	76.33
6216874855	SMP	1	76.70	75.45
6216894881	SMP	1	77.50	74.68
6216914840	SMP	1	76.61	75.51
6216934864	SMP	1	76.79	74.79
6216954821	SMP	1	77.64	74.58
6216974843	SMP	1	77.32	75.66
6216994800	SMP	1	76.31	74.84
6217014825	SMP	1	77.56	75.49
6217034782	SMP	1	75.57	74.89
6217054805	SMP	1	77.39	74.58
6217074762	SMP	1	77.69	74.57
6217094786	SMP	1	76.58	74.66
6217114741	SMP	1	78.21	76.34
6217134766	SMP	1	76.39	75.60
6217154724	SMP	1	76.73	75.58
6217174746	SMP	1	77.66	75.48
6217194700	SMP	1	77.69	75.65
6217214723	SMP	1	77.37	76.24
6217234680	SMP	1	77.44	75.54
6217254705	SMP	1	77.48	75.45
6217274663	SMP	1	76.82	74.69
6217294685	SMP	1	76.63	75.60
6217314650	SMP	1	77.53	75.40
6217334666	SMP	1	77.33	75.58
6217354624	SMP	1	77.74	75.78
6217374646	SMP	1	78.19	75.68
6217394603	SMP	1	77.60	75.67
6217414626	SMP	1	77.54	75.58
6217434584	SMP	1	78.28	76.32
6217454608	SMP	1	76.74	75.50
6217474563	SMP	1	76.73	76.43
6217494586	SMP	1	76.74	74.49
6217514543	SMP	1	77.63	74.68
6217534566	SMP	1	77.36	75.66
6217554525	SMP	1	77.52	75.58
6217574546	SMP	1	75.87	75.44
6217594504	SMP	1	78.36	74.66
6217614528	SMP	1	77.56	75.69
6217634484	SMP	1	76.43	75.67
6217654514	SMP	1	78.40	75.61
6217674465	SMP	1	77.38	75.49
6217694491	SMP	1	77.42	75.63
6217714444	SMP	1	76.59	76.30
6217734469	SMP	1	76.85	74.61
6217754426	SMP	1	78.28	75.69
6217774448	SMP	1	77.57	75.44
6217794406	SMP	1	76.91	75.43
6217814428	SMP	1	76.61	75.38
6217834387	SMP	1	77.19	75.46
6217854410	SMP	1	76.43	74.71
6217874367	SMP	1	75.67	75.35
6217894389	SMP	1	76.61	75.46
6217914346	SMP	1	76.58	76.34
6217934372	SMP	1	76.78	75.59
6217954327	SMP	1	77.50	74.75
6217974350	SMP	1	77.65	75.59
6217994310	SMP	1	76.56	76.49
6218014331	SMP	1	76.96	74.72
6218034289	SMP	1	77.78	76.52
6218054311	SMP	1	76.74	75.47
6218074267	SMP	1	77.78	75.66
6218094291	SMP	1	76.80	75.57
6218114249	SMP	1	77.41	75.56
6218134271	SMP	1	77.58	75.51
6218154229	SMP	1	77.44	75.56
6218174251	SMP	1	76.39	75.53
6218194208	SMP	1	77.64	75.51
6218214232	SMP	1	76.64	75.69
6218234190	SMP	1	76.85	74.76
6218254211	SMP	1	76.55	75.46
6218274169	SMP	1	76.98	76.38
6218294192	SMP	1	77.64	75.40
6218314149	SMP	1	79.43	75.72
6218334179	SMP	1	76.72	76.43
