Time	Type	Set	L Dia X [px]	L Dia Y [px]
8218997609	SMP	1	75,87	73,33
8219017564	SMP	1	76,21	73,47
8219037590	SMP	1	76,62	74,09
8219057545	SMP	1	77,67	73,36
8219077578	SMP	1	77,05	72,51
8219097528	SMP	1	77,26	72,70
8219117553	SMP	1	76,02	73,92
8219137506	SMP	1	77,30	73,42
8219157532	SMP	1	76,82	73,45
8219177491	SMP	1	75,48	74,40
8219197509	SMP	1	77,70	73,63
8219217472	SMP	1	75,69	73,51
8219237495	SMP	1	76,21	73,63
8219257454	SMP	1	76,03	75,19
8219277474	SMP	1	77,17	73,34
8219297434	SMP	1	78,33	73,29
8219317455	SMP	1	75,67	72,27
8219337414	SMP	1	76,16	74,97
8219357436	SMP	1	80,00	71,75
8219377399	SMP	1	77,03	72,65
8219397415	SMP	1	76,21	73,14
8219417371	SMP	1	77,48	73,53
8219437391	SMP	1	77,66	73,30
8219457354	SMP	1	76,06	74,46
8219477372	SMP	1	75,49	73,55
8219497334	SMP	1	75,52	74,19
8219517355	SMP	1	75,85	72,68
8219537315	SMP	1	75,57	74,16
8219557337	SMP	1	74,49	73,62
8219577292	SMP	1	76,06	73,32
8219597315	SMP	1	77,00	73,56
8219617275	SMP	1	75,60	72,70
8219637297	SMP	1	76,47	72,52
8219657252	SMP	1	74,78	73,54
8219677276	SMP	1	76,09	72,24
8219697231	SMP	1	74,02	56,39
8219717257	SMP	1	0,00	0,00
8219737215	SMP	1	0,00	0,00
8219757238	SMP	1	0,00	0,00
8219777197	SMP	1	0,00	0,00
8219797220	SMP	1	0,00	0,00
8219817175	SMP	1	60,40	34,32
8219837195	SMP	1	69,69	48,79
8219857159	SMP	1	74,28	56,46
8219877180	SMP	1	75,65	64,28
8219897137	SMP	1	77,87	68,47
8219917158	SMP	1	78,80	72,50
8219937115	SMP	1	81,11	75,05
8219957141	SMP	1	79,02	75,26
8219977096	SMP	1	80,34	74,56
8219997121	SMP	1	79,43	75,53
8220017080	SMP	1	78,79	74,52
8220037100	SMP	1	78,62	76,12
8220057066	SMP	1	78,78	75,36
8220077078	SMP	1	78,86	72,73
8220097041	SMP	1	78,27	74,54
8220117064	SMP	1	76,44	74,49
8220137018	SMP	1	78,39	73,58
8220157041	SMP	1	76,38	74,62
8220177002	SMP	1	76,92	73,72
8220197023	SMP	1	76,91	73,30
8220216980	SMP	1	79,25	72,63
8220237003	SMP	1	76,66	73,48
8220256962	SMP	1	75,63	73,60
8220276984	SMP	1	76,78	72,60
8220296943	SMP	1	76,70	73,46
8220316965	SMP	1	76,51	74,30
8220336918	SMP	1	77,22	73,23
8220356945	SMP	1	74,75	73,37
8220376901	SMP	1	76,88	74,47
8220396928	SMP	1	76,88	73,62
8220416881	SMP	1	75,32	73,29
8220436902	SMP	1	75,75	73,94
8220456866	SMP	1	75,66	73,33
8220476882	SMP	1	74,73	73,50
8220496840	SMP	1	75,93	72,29
8220516867	SMP	1	75,65	73,31
8220536824	SMP	1	74,67	72,50
8220556847	SMP	1	76,33	73,27
8220576801	SMP	1	76,44	72,26
8220596826	SMP	1	76,03	72,39
8220616787	SMP	1	75,75	73,27
8220636805	SMP	1	75,94	72,68
8220656762	SMP	1	76,33	72,38
8220676788	SMP	1	75,55	72,76
8220696744	SMP	1	76,43	73,99
8220716766	SMP	1	73,54	72,67
8220736726	SMP	1	75,70	72,85
8220756748	SMP	1	74,62	71,49
8220776707	SMP	1	75,82	72,56
8220796728	SMP	1	76,84	72,36
8220816687	SMP	1	76,09	73,36
8220836705	SMP	1	76,63	72,68
8220856668	SMP	1	75,60	72,15
8220876688	SMP	1	76,25	73,26
8220896647	SMP	1	75,84	72,34
8220916669	SMP	1	75,55	72,55
8220936626	SMP	1	78,08	73,43
8220956651	SMP	1	75,83	71,83
8220976609	SMP	1	75,80	73,23
8220996632	SMP	1	74,49	72,32
8221016587	SMP	1	75,32	71,69
8221036612	SMP	1	75,03	72,49
8221056571	SMP	1	74,85	73,34
8221076599	SMP	1	75,69	73,31
8221096548	SMP	1	76,61	73,22
8221116573	SMP	1	75,20	73,30
8221136527	SMP	1	74,47	72,39
8221156552	SMP	1	75,36	72,52
8221176511	SMP	1	78,39	72,44
