## [iView]
## Converted from:	n.a.
## Date:	30.01.2002 19:48:34
## Version:	IDF Converter 2.01 build 30
## Sample Rate:	50
## [Trial]
## User:	
## Trial:	
## [Calibration]
## Calibration Type:	5-point
## Calibration Area:	768	576
## [Geometry]
## Stimulus Dimension [mm]:	300	200
## Head Distance [mm]:	500
## [Hardware Setup]
## [Presentation]
## Number of Samples:	1242336
## Reversed:	none
## Format:	LEFT, DIAMETER
## 
Time	Type	Set	L Dia X [px]	L Dia Y [px]
1722949220	SMP	1	65.15	63.69
1722969177	SMP	1	65.27	64.62
1722989202	SMP	1	65.24	63.74
1723009163	SMP	1	64.77	65.35
1723029182	SMP	1	64.56	65.39
1723049136	SMP	1	64.51	65.45
1723069157	SMP	1	65.94	63.54
1723089121	SMP	1	64.41	64.68
1723109139	SMP	1	66.03	64.55
1723129102	SMP	1	65.23	65.47
1723149123	SMP	1	65.43	63.45
1723169083	SMP	1	65.23	64.53
1723189101	SMP	1	65.34	64.66
1723209064	SMP	1	66.17	65.00
1723229084	SMP	1	64.67	64.53
1723249044	SMP	1	65.70	64.54
1723269063	SMP	1	65.49	63.62
1723289026	SMP	1	65.14	63.66
1723309045	SMP	1	63.65	63.59
1723329003	SMP	1	64.47	63.64
1723349026	SMP	1	65.29	64.32
1723368985	SMP	1	65.42	63.64
1723389013	SMP	1	64.47	64.32
1723408966	SMP	1	65.52	64.35
1723428989	SMP	1	65.47	64.53
1723448947	SMP	1	64.59	63.70
1723468969	SMP	1	65.62	64.50
1723488935	SMP	1	64.82	64.39
1723508947	SMP	1	64.70	65.18
1723528907	SMP	1	65.33	63.51
1723548926	SMP	1	64.12	64.52
1723568880	SMP	1	64.69	62.61
1723588918	SMP	1	65.51	64.55
1723608864	SMP	1	65.57	65.29
1723628889	SMP	1	65.85	64.47
1723648845	SMP	1	64.58	64.12
1723668868	SMP	1	65.42	64.44
1723688834	SMP	1	65.72	64.62
1723708850	SMP	1	64.67	64.37
1723728806	SMP	1	64.57	63.67
1723748830	SMP	1	65.58	64.50
1723768791	SMP	1	65.20	64.57
1723788809	SMP	1	65.41	64.44
1723808767	SMP	1	66.05	64.64
1723828787	SMP	1	65.51	64.47
1723848751	SMP	1	66.55	64.81
1723868773	SMP	1	65.51	64.53
1723888732	SMP	1	65.66	65.33
1723908750	SMP	1	65.66	64.53
1723928710	SMP	1	65.45	64.63
1723948733	SMP	1	66.19	64.46
1723968685	SMP	1	65.78	64.56
1723989056	SMP	1	66.57	65.54
1724008668	SMP	1	66.55	64.65
1724028693	SMP	1	65.90	64.69
1724048649	SMP	1	65.59	65.49
1724068672	SMP	1	65.88	65.53
1724088632	SMP	1	65.90	65.42
1724108652	SMP	1	65.53	65.43
1724128614	SMP	1	65.01	65.58
1724148636	SMP	1	64.59	64.62
1724168590	SMP	1	64.47	64.42
1724188609	SMP	1	64.81	64.76
1724208575	SMP	1	65.64	65.45
1724228598	SMP	1	65.44	65.31
1724248556	SMP	1	65.90	65.28
1724268573	SMP	1	66.40	63.87
1724288529	SMP	1	64.68	65.48
1724308554	SMP	1	64.74	65.50
1724328515	SMP	1	66.48	64.77
1724348534	SMP	1	65.52	64.44
1724368506	SMP	1	66.61	64.44
1724388518	SMP	1	65.52	64.73
1724408472	SMP	1	64.75	64.64
1724428496	SMP	1	66.61	64.63
1724448456	SMP	1	66.36	63.71
1724468476	SMP	1	65.76	65.18
1724488438	SMP	1	66.75	65.41
1724508457	SMP	1	66.46	64.79
1724528417	SMP	1	66.46	65.51
1724548436	SMP	1	66.57	66.39
1724568392	SMP	1	66.67	65.43
1724588420	SMP	1	65.64	64.61
1724608372	SMP	1	67.15	64.57
1724628393	SMP	1	65.62	64.70
1724648357	SMP	1	65.67	64.49
1724668380	SMP	1	65.70	65.43
1724688340	SMP	1	65.56	65.51
1724708359	SMP	1	66.60	64.72
1724728313	SMP	1	65.83	64.74
1724748342	SMP	1	66.50	65.41
1724768296	SMP	1	66.41	65.50
1724788317	SMP	1	65.61	65.51
1724808278	SMP	1	66.64	64.60
1724828297	SMP	1	65.33	64.49
1724848254	SMP	1	65.49	65.29
1724868280	SMP	1	67.21	65.36
